brand,name,marketed,details
Olympus,Olympus Stylus TOUGH 8010 aka Olympus µTOUGH-8010,2010,Marketed: 02-Feb-2010;Megapixels: 14
Olympus,Olympus Olympus Tough 3005 Waterproof Digital Camera,2010,Marketed: 07-Jan-2010;Lens Mount: OM;Megapixels: 16
Olympus,Olympus Stylus 5010 aka Olympus µ5010,2010,Marketed: 07-Jan-2010;Megapixels: 14
Olympus,Olympus Stylus 7030 aka Olympus µ7030,2010,Marketed: 07-Jan-2010;Lens Mount:  Fixed;Lens: 5-35mm f/3-5.9;Megapixels: 14
Olympus,Olympus Stylus 7040 aka Olympus µ7040,2010,Marketed: 07-Jan-2010;Megapixels: 14
Olympus,Olympus Stylus Tough-3000 aka Olympus µ3000,2010,Marketed: 07-Jan-2010;Megapixels: 12
Olympus,Olympus E-P2,2009,Marketed: 05-Nov-2009;Megapixels: 12.3
Olympus,Olympus FE-4000 aka Olympus X920 aka Olympus X925,2009,Marketed: 22-Jul-2009;Megapixels: 12
Olympus,Olympus FE-46 aka Olympus X-42 aka Olympus X-41,2009,Marketed: 22-Jul-2009;Megapixels: 12
Olympus,Olympus FE-5020 aka X-935,2009,Marketed: 22-Jul-2009;Lens Mount:  Fixed;Megapixels: 12
Olympus,Olympus Stylus-7010 aka Olympus mju 7010,2009,Marketed: 22-Jul-2009;Shutter Speeds: 1/4-1/2000 sec;Megapixels: 12
Olympus,Olympus E-P1,2009,Marketed: 16-Jun-2009
Olympus,Olympus E-620,2009,Marketed: 24-Feb-2009;Megapixels: 12.3
Olympus,Olympus FE-3000 aka Stylus X890,2009,Marketed: 07-Jan-2009;Megapixels: 12
Olympus,Olympus FE-3010,2009,Marketed: 07-Jan-2009;Megapixels: 12
Olympus,Olympus FE-45 aka X-40,2009,Marketed: 07-Jan-2009;Lens Mount:  Fixed;Megapixels: 10.7
Olympus,Olympus FE-5010,2009,Marketed: 07-Jan-2009;Lens Mount:  Fixed;Megapixels: 12
Olympus,Olympus SP-590 UZ,2009,Marketed: 07-Jan-2009;Lens Mount:  Fixed;Megapixels: 12
Olympus,Olympus Stylus-550WP,2009,Marketed: 07-Jan-2009;Lens Mount:  Fixed;Megapixels: 10
Olympus,Olympus Stylus 7000 aka Olympus µ7000,2009,Marketed: 07-Jan-2009;Lens Mount:  Fixed;Megapixels: 12
Olympus,Olympus Stylus 9000 aka Olympus µ9000,2009,Marketed: 07-Jan-2009;Lens Mount:  Fixed
Olympus,Olympus Stylus Tough-6000 aka Olympus µ Tough 6000,2009,Marketed: 07-Jan-2009;Lens Mount:  Fixed;Megapixels: 10
Olympus,Olympus Stylus Tough-8000 aka Olympus µ Tough 8000,2009,Marketed: 07-Jan-2009;Lens Mount:  Fixed;Megapixels: 12
Olympus,Olympus E-30,2008,Marketed: 05-Nov-2008;Megapixels: 12.3
Olympus,Olympus FE-360 aka Olympus X-875 aka Olumpus C-570,2008,Marketed: 25-Aug-2008;Lens Mount:  Fixed;Megapixels: 8
Olympus,Olympus FE-370 aka Olympus X880 aka Olympus C575,2008,Marketed: 25-Aug-2008;Lens Mount:  Fixed;Megapixels: 8
Olympus,Olympus SP-565 UZ,2008,Marketed: 25-Aug-2008;Lens Mount:  Fixed;Megapixels: 10
Olympus,Olympus Stylus 1050 SW aka Olympus µ 1050 SW,2008,Marketed: 25-Aug-2008;Lens Mount:  Fixed;Megapixels: 10.1
Olympus,Olympus E-520,2008,Marketed: 13-May-2008;Megapixels: 10
Olympus,Olympus E-420,2008,Marketed: 05-Mar-2008;Megapixels: 10
Olympus,Olympus FE-310 aka Olympus C-530 aka Olympus X-840,2008,Marketed: 22-Jan-2008;Lens Mount:  Fixed;Megapixels: 8
Olympus,Olympus FE-320 aka Olympus C-540 aka Olympus X-835,2008,Marketed: 22-Jan-2008;Lens Mount:  Fixed;Megapixels: 8
Olympus,Olympus FE-340 aka Olympus C-560 aka Olympus X-855,2008,Marketed: 22-Jan-2008;Lens Mount:  Fixed;Megapixels: 8
Olympus,Olympus FE-350,2008,Marketed: 22-Jan-2008;Lens Mount:  Fixed;Megapixels: 8
Olympus,Olympus SP-570 UZ,2008,Marketed: 22-Jan-2008;Lens Mount:  Fixed;Megapixels: 10
Olympus,Olympus Stylus 1010,2008,Marketed: 22-Jan-2008;Lens Mount:  Fixed;Megapixels: 8
Olympus,Olympus Stylus 1020,2008,Marketed: 22-Jan-2008;Lens Mount:  Fixed;Megapixels: 10.1
Olympus,Olympus Stylus 1030 SW,2008,Marketed: 22-Jan-2008;Lens Mount:  Fixed;Megapixels: 10.1
Olympus,Olympus Stylus 850 SW,2008,Marketed: 22-Jan-2008;Lens Mount:  Fixed;Megapixels: 8
Olympus,Olympus E-3,2007,Marketed: 16-Oct-2007;Megapixels: 10
Olympus,Olympus FE-280 aka Olympus C-520 aka Olympus X-820,2007,Marketed: 23-Aug-2007;Lens Mount:  Fixed
Olympus,Olympus FE-290 aka Olympus X825,2007,Marketed: 23-Aug-2007;Lens Mount:  Fixed
Olympus,Olympus FE-300 aka Olympus X-830,2007,Marketed: 23-Aug-2007;Lens Mount:  Fixed;Megapixels: 12
Olympus,Olympus SP-560 UZ,2007,Marketed: 23-Aug-2007;Lens Mount:  Fixed;Megapixels: 10
Olympus,Olympus Stylus 790 SW,2007,Marketed: 23-Aug-2007;Lens Mount:  Fixed;Megapixels: 7.1
Olympus,Olympus Stylus 820,2007,Marketed: 23-Aug-2007;Megapixels: 8
Olympus,Olympus Evolt E-410,2007,Marketed: 05-Mar-2007;Megapixels: 10
Olympus,Olympus Evolt E-510,2007,Marketed: 05-Mar-2007;Megapixels: 10
Olympus,Olympus Stylus 780,2007,Marketed: 05-Mar-2007
Olympus,Olympus FE-210 aka Olympus X-775,2007,Marketed: 26-Jan-2007
Olympus,Olympus FE-230 aka Olympus X-790,2007,Marketed: 26-Jan-2007
Olympus,Olympus FE-240 aka Olympus X795,2007,Marketed: 26-Jan-2007
Olympus,Olympus FE-250 aka Olympus X-800,2007,Marketed: 26-Jan-2007
Olympus,Olympus SP-550 UZ,2007,Marketed: 26-Jan-2007;Megapixels: 7.1
Olympus,Olympus Stylus 760,2007,Marketed: 25-Jan-2007
Olympus,Olympus FE-170 aka Olympus C-505 aka Olympus X760,2006,Marketed: 23-Aug-2006;Megapixels: 6
Olympus,Olympus FE-180 aka Olympus X745,2006,Marketed: 23-Aug-2006;Megapixels: 6
Olympus,Olympus FE-190 aka Olympus X750,2006,Marketed: 23-Aug-2006;Megapixels: 6
Olympus,Olympus FE-200,2006,Marketed: 23-Aug-2006;Megapixels: 6
Olympus,Olympus SP-510 UZ,2006,Marketed: 23-Aug-2006;Megapixels: 7.1
Olympus,Olympus Stylus 1000,2006,Marketed: 23-Aug-2006;Megapixels: 10
Olympus,Olympus Stylus 730,2006,Marketed: 23-Aug-2006;Megapixels: 7.1
Olympus,Olympus Stylus 740,2006,Marketed: 23-Aug-2006;Megapixels: 7.1
Olympus,Olympus Stylus 750,2006,Marketed: 23-Aug-2006;Megapixels: 7.1
Olympus,Olympus E-330 aka Evolt E-330,2006,Marketed: 26-Jan-2006;Megapixels: 7.5
Olympus,Olympus FE-130 aka Olympus X720,2006,Marketed: 26-Jan-2006;Megapixels: 5.1
Olympus,Olympus FE-140 aka Olympus X-725,2006,Marketed: 26-Jan-2006;Megapixels: 6
Olympus,Olympus Stylus 710 SW,2006,Marketed: 26-Jan-2006;Megapixels: 7.1
Olympus,Olympus Stylus 720 SW,2006,Marketed: 26-Jan-2006;Megapixels: 7.1
Olympus,Olympus Stylus 810 SW,2006,Marketed: 26-Jan-2006;Megapixels: 8
Olympus,Olympus SP-320,2006,Marketed: 01-Jan-2006;Megapixels: 7.1
Olympus,Olympus E-500 aka Olympus EVOLT E-500,2005,Marketed: 01-Oct-2005;Megapixels: 8
Olympus,Olympus FE-100 aka Olympus X710,2005,Marketed: 01-Sep-2005;Megapixels: 4
Olympus,Olympus FE-110,2005,Marketed: 01-Sep-2005;Megapixels: 5
Olympus,Olympus SP-310,2005,Marketed: 01-Sep-2005;Megapixels: 7.1
Olympus,Olympus D-545Z aka Olympus X550 aka Olympus C-480Z,2005,Marketed: 17-Feb-2005;Megapixels: 4
Olympus,Olympus IR-300,2005,Marketed: 17-Feb-2005;Megapixels: 5
